Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
50446_ LCM_500ng,203282450180_R01C01,,,,2.03282E+11,R01C01
50446_ LCM_50ng,203282450180_R02C01,,,,2.03282E+11,R02C01
50446_ LCM_10ng,203282450180_R03C01,,,,2.03282E+11,R03C01
50446 LCM-50ng (alternative BSC),203282450180_R04C01,,,,2.03282E+11,R04C01
C4T_500ng,203282450180_R05C01,,,,2.03282E+11,R05C01
C4T_50ng,203282450180_R06C01,,,,2.03282E+11,R06C01
C4T_10ng,203282450180_R07C01,,,,2.03282E+11,R07C01
C4T-50ng(alternative BSC),203282450180_R08C01,,,,2.03282E+11,R08C01
